model,dimension,subgroup,N,success_count,success_rate,mean_score,adjudicated_success_count,adjudicated_success_rate,adjudicated_mean_score,average_steps,median_steps,average_duration,median_duration,step_limit_reached,wall_time_limit_reached,budget_exhaustion,declared_complete_but_failed,failed_N,failed_with_positive_score,mean_failed_score,failed_with_any_satisfied_scoring_condition,mean_failed_scoring_condition_fraction
gpt-5.5,manifest_family,real100,8,2,0.25,0.25,2,0.25,0.25,28.5,31.0,901.734125,701.41,2,2,4,2,6,0,0.0,0,0.0
gpt-5.5,manifest_family,real200,10,3,0.3,0.45,3,0.3,0.45,26.4,23.5,998.4132,715.6179999999999,2,3,5,2,7,3,0.21428571428571427,3,0.21428571428571427
gpt-5.5,manifest_family,real300,12,2,0.16666666666666666,0.3472222222222222,2,0.16666666666666666,0.3472222222222222,25.5,18.0,886.9083333333333,650.7864999999999,4,0,4,6,10,4,0.21666666666666667,4,0.21666666666666667
gpt-5.5,manifest_family,smarthome_generated_scripted,10,4,0.4,0.6,4,0.4,0.6,3.4,3.0,29.5551,22.9845,0,0,0,6,6,4,0.3333333333333333,4,0.3333333333333333
gpt-5.5,task_difficulty,Complex,7,1,0.14285714285714285,0.40476190476190477,1,0.14285714285714285,0.40476190476190477,36.857142857142854,45,1102.9534285714285,1169.695,3,1,4,2,6,3,0.3055555555555555,3,0.3055555555555555
gpt-5.5,task_difficulty,Medium,15,4,0.26666666666666666,0.35555555555555557,4,0.26666666666666666,0.35555555555555557,22.866666666666667,13,938.9302666666666,672.807,3,3,6,5,11,3,0.12121212121212122,3,0.12121212121212122
gpt-5.5,task_difficulty,NA,170,50,0.29411764705882354,0.5655882352941176,51,0.3,0.5675490196078431,20.011764705882353,11.5,711.7983,587.5045,27,11,38,82,120,86,0.38458333333333333,87,0.38875
gpt-5.5,task_difficulty,Simple,8,2,0.25,0.3125,2,0.25,0.3125,24.625,21.0,754.534625,643.0419999999999,2,1,3,3,6,1,0.08333333333333333,1,0.08333333333333333
gpt-5.5,motif,M2,6,1,0.16666666666666666,0.25,1,0.16666666666666666,0.25,17.333333333333332,11.0,774.277,491.594,0,1,1,4,5,1,0.1,1,0.1
gpt-5.5,motif,M3,10,3,0.3,0.35,3,0.3,0.35,28.1,32.5,1031.1075,776.6095,3,2,5,2,7,1,0.07142857142857142,1,0.07142857142857142
gpt-5.5,motif,M4,2,0,0,0.0,0,0,0.0,50,50.0,1379.8395,1379.8395,2,0,2,0,2,0,0.0,0,0.0
gpt-5.5,motif,M5,7,2,0.2857142857142857,0.40476190476190477,2,0.2857142857142857,0.40476190476190477,19.285714285714285,13,665.2655714285714,500.252,1,1,2,3,5,2,0.16666666666666666,2,0.16666666666666666
gpt-5.5,motif,M6,4,0,0,0.4583333333333333,0,0,0.4583333333333333,38.75,47.5,1225.496,1247.624,2,1,3,1,4,3,0.4583333333333333,3,0.4583333333333333
gpt-5.5,motif,M7,1,1,1,1.0,1,1,1.0,23,23,565.646,565.646,0,0,0,0,0,0,NA,0,NA
gpt-5.5,motif,NA,170,50,0.29411764705882354,0.5655882352941176,51,0.3,0.5675490196078431,20.011764705882353,11.5,711.7983,587.5045,27,11,38,82,120,86,0.38458333333333333,87,0.38875
gpt-5.5,workflow_pattern,NA,200,57,0.285,0.5340833333333334,58,0.29,0.53575,21,13.0,744.23308,600.3,35,16,51,92,143,93,0.34836829836829836,94,0.35186480186480185
gpt-5.5,total_evaluators,1,51,24,0.47058823529411764,0.47058823529411764,24,0.47058823529411764,0.47058823529411764,15.450980392156863,8,688.3758627450981,570.039,5,5,10,17,27,0,0.0,0,0.0
gpt-5.5,total_evaluators,2,62,13,0.20967741935483872,0.49193548387096775,13,0.20967741935483872,0.49193548387096775,22.387096774193548,17.0,729.5826290322581,630.3175,8,4,12,37,49,35,0.35714285714285715,35,0.35714285714285715
gpt-5.5,total_evaluators,3,50,8,0.16,0.6,9,0.18,0.6066666666666667,23.7,18.0,822.84168,629.711,10,5,15,27,42,39,0.5238095238095238,39,0.5238095238095238
gpt-5.5,total_evaluators,4,21,7,0.3333333333333333,0.6190476190476191,7,0.3333333333333333,0.6190476190476191,25.19047619047619,22,806.5809523809523,590.776,7,2,9,5,14,11,0.42857142857142855,11,0.42857142857142855
gpt-5.5,total_evaluators,5,6,1,0.16666666666666666,0.4,1,0.16666666666666666,0.4,27.666666666666668,28.5,943.3421666666667,762.5615,3,0,3,2,5,3,0.28,3,0.28
gpt-5.5,total_evaluators,6,5,2,0.4,0.7333333333333334,2,0.4,0.7333333333333334,22.6,5,578.1202,658.348,2,0,2,1,3,3,0.5555555555555556,3,0.5555555555555556
gpt-5.5,total_evaluators,7,3,1,0.3333333333333333,0.75,1,0.3333333333333333,0.75,5.333333333333333,5,433.0113333333333,341.838,0,0,0,2,2,2,0.625,2,0.625
gpt-5.5,total_evaluators,8,2,1,0.5,0.5,1,0.5,0.5,7.5,7.5,287.676,287.676,0,0,0,1,1,0,0.0,1,0.5
gpt-5.5,scoring_evaluators,1,64,32,0.5,0.5,32,0.5,0.5,17.421875,8.0,661.99759375,567.8425,9,5,14,18,32,0,0.0,0,0.0
gpt-5.5,scoring_evaluators,2,79,19,0.24050632911392406,0.5443037974683544,19,0.24050632911392406,0.5443037974683544,17.936708860759495,8,661.5642025316456,525.717,8,4,12,48,60,48,0.4,49,0.4083333333333333
gpt-5.5,scoring_evaluators,3,33,1,0.030303030303030304,0.5555555555555556,2,0.06060606060606061,0.5656565656565656,28.393939393939394,27,974.7850909090909,889.524,7,5,12,20,32,30,0.5416666666666666,30,0.5416666666666666
gpt-5.5,scoring_evaluators,4,18,3,0.16666666666666666,0.5416666666666666,3,0.16666666666666666,0.5416666666666666,28.944444444444443,25.0,928.285611111111,707.659,7,2,9,6,15,12,0.45,12,0.45
gpt-5.5,scoring_evaluators,5,4,2,0.5,0.6,2,0.5,0.6,27.5,27.5,934.42125,883.4575,2,0,2,0,2,1,0.2,1,0.2
gpt-5.5,scoring_evaluators,6,2,0,0,0.6666666666666667,0,0,0.6666666666666667,50,50.0,800.232,800.232,2,0,2,0,2,2,0.6666666666666667,2,0.6666666666666667
gpt-5.5,single_output_vs_multi_output,NA,200,57,0.285,0.5340833333333334,58,0.29,0.53575,21,13.0,744.23308,600.3,35,16,51,92,143,93,0.34836829836829836,94,0.35186480186480185
claude-opus-4-8,overall,all,200,75,0.375,0.5845,75,0.375,0.5845,20.445,14.0,613.81748,382.453,32,23,55,70,125,79,0.3352,80,0.3392
claude-opus-4-8,device_types,android,20,3,0.15,0.2791666666666667,3,0.15,0.2791666666666667,42.1,50.0,749.0721,649.935,14,1,15,2,17,5,0.15196078431372548,5,0.15196078431372548
claude-opus-4-8,device_types,android+home,25,9,0.36,0.7033333333333334,9,0.36,0.7033333333333334,22,17,352.84036,239.995,6,0,6,10,16,14,0.5364583333333334,14,0.5364583333333334
claude-opus-4-8,device_types,android+home+linux,30,11,0.36666666666666664,0.6666666666666666,11,0.36666666666666664,0.6666666666666666,22.666666666666668,18.5,518.6481333333334,405.639,5,0,5,14,19,17,0.47368421052631576,17,0.47368421052631576
claude-opus-4-8,device_types,android+linux,67,19,0.2835820895522388,0.45,19,0.2835820895522388,0.45,25.208955223880597,26,1039.5171641791044,765.734,7,22,29,19,48,22,0.23229166666666667,22,0.23229166666666667
claude-opus-4-8,device_types,home,10,4,0.4,0.6,4,0.4,0.6,4,3.0,52.7651,21.180999999999997,0,0,0,6,6,4,0.3333333333333333,4,0.3333333333333333
claude-opus-4-8,device_types,home+linux,30,14,0.4666666666666667,0.725,14,0.4666666666666667,0.725,6.566666666666666,6.0,252.17713333333333,240.6025,0,0,0,16,16,15,0.484375,16,0.515625
claude-opus-4-8,device_types,linux,18,15,0.8333333333333334,0.8796296296296297,15,0.8333333333333334,0.8796296296296297,5.055555555555555,5.0,314.4992222222222,275.504,0,0,0,3,3,2,0.2777777777777778,2,0.2777777777777778
claude-opus-4-8,device_count,1,10,4,0.4,0.6,4,0.4,0.6,4,3.0,52.7651,21.180999999999997,0,0,0,6,6,4,0.3333333333333333,4,0.3333333333333333
claude-opus-4-8,device_count,2,95,50,0.5263157894736842,0.6403508771929824,50,0.5263157894736842,0.6403508771929824,20.389473684210525,9,510.62035789473686,298.345,21,5,26,19,45,21,0.24074074074074073,22,0.2518518518518518
claude-opus-4-8,device_count,3,66,15,0.22727272727272727,0.530050505050505,15,0.22727272727272727,0.530050505050505,19.484848484848484,17.0,711.848909090909,409.6435,4,12,16,35,51,37,0.3918300653594771,37,0.3918300653594771
claude-opus-4-8,device_count,4,29,6,0.20689655172413793,0.5201149425287356,6,0.20689655172413793,0.5201149425287356,28.482758620689655,27,922.2373448275862,776.167,7,6,13,10,23,17,0.39492753623188404,17,0.39492753623188404
claude-opus-4-8,device_topology,1A+1H,15,6,0.4,0.7055555555555556,6,0.4,0.7055555555555556,19.8,17,321.8695333333333,201.973,3,0,3,6,9,8,0.5092592592592593,8,0.5092592592592593
claude-opus-4-8,device_topology,1A+1L,24,12,0.5,0.5555555555555556,12,0.5,0.5555555555555556,24.708333333333332,19.5,813.2152916666666,554.7049999999999,4,4,8,4,12,3,0.1111111111111111,3,0.1111111111111111
claude-opus-4-8,device_topology,1A+1L+1H,14,5,0.35714285714285715,0.6309523809523809,5,0.35714285714285715,0.6309523809523809,19,19.0,424.74807142857145,397.30100000000004,0,0,0,9,9,7,0.42592592592592593,7,0.42592592592592593
claude-opus-4-8,device_topology,1A+2L,12,3,0.25,0.45,3,0.25,0.45,20.333333333333332,18.0,992.9675833333333,570.6365,1,4,5,4,9,5,0.26666666666666666,5,0.26666666666666666
claude-opus-4-8,device_topology,1A+2L+1H,4,1,0.25,0.6041666666666666,1,0.25,0.6041666666666666,19,17.5,538.19925,498.371,0,0,0,3,3,3,0.4722222222222222,3,0.4722222222222222
claude-opus-4-8,device_topology,1H,10,4,0.4,0.6,4,0.4,0.6,4,3.0,52.7651,21.180999999999997,0,0,0,6,6,4,0.3333333333333333,4,0.3333333333333333
claude-opus-4-8,device_topology,1L+1H,18,14,0.7777777777777778,0.8611111111111112,14,0.7777777777777778,0.8611111111111112,6.333333333333333,5.5,195.62755555555555,180.99849999999998,0,0,0,4,4,3,0.375,4,0.5
